x-axis,3,4,MATH
second,Volt,Volt,Volt
-75.2000E-06,-11.6210937500E+00,-13.5742187500E+00,-1.9531250000E+00
-75.0000E-06,-11.4257812500E+00,-13.5742187500E+00,-2.1484375000E+00
-74.8000E-06,-11.4257812500E+00,-13.3789062500E+00,-1.9531250000E+00
-74.6000E-06,-11.1328125000E+00,-13.3789062500E+00,-2.2460937500E+00
-74.4000E-06,-11.1328125000E+00,-13.0859375000E+00,-1.9531250000E+00
-74.2000E-06,-11.0351562500E+00,-13.0859375000E+00,-2.0507812500E+00
-74.0000E-06,-11.0351562500E+00,-12.9882812500E+00,-1.9531250000E+00
-73.8000E-06,-11.0351562500E+00,-12.9882812500E+00,-1.9531250000E+00
-73.6000E-06,-11.0351562500E+00,-12.7929687500E+00,-1.7578125000E+00
-73.4000E-06,-10.7421875000E+00,-12.8906250000E+00,-2.1484375000E+00
-73.2000E-06,-10.8398437500E+00,-12.7929687500E+00,-1.9531250000E+00
-73.0000E-06,-10.6445312500E+00,-12.6953125000E+00,-2.0507812500E+00
-72.8000E-06,-10.4492187500E+00,-12.4023437500E+00,-1.9531250000E+00
-72.6000E-06,-10.5468750000E+00,-12.5976562500E+00,-2.0507812500E+00
-72.4000E-06,-10.3515625000E+00,-12.2070312500E+00,-1.8554687500E+00
-72.2000E-06,-10.2539062500E+00,-12.2070312500E+00,-1.9531250000E+00
-72.0000E-06,-10.2539062500E+00,-12.1093750000E+00,-1.8554687500E+00
-71.8000E-06,-10.2539062500E+00,-12.1093750000E+00,-1.8554687500E+00
-71.6000E-06,-9.9609375000E+00,-12.0117187500E+00,-2.0507812500E+00
-71.4000E-06,-10.1562500000E+00,-11.9140625000E+00,-1.7578125000E+00
-71.2000E-06,-10.1562500000E+00,-11.9140625000E+00,-1.7578125000E+00
-71.0000E-06,-9.8632812500E+00,-11.8164062500E+00,-1.9531250000E+00
-70.8000E-06,-9.7656250000E+00,-11.5234375000E+00,-1.7578125000E+00
-70.6000E-06,-9.7656250000E+00,-11.3281250000E+00,-1.5625000000E+00
-70.4000E-06,-9.6679687500E+00,-11.4257812500E+00,-1.7578125000E+00
