x-axis,3,4,MATH
second,Volt,Volt,Volt
+21.3000E-06,+31.7382812500E+00,+30.8593750000E+00,-878.9062500E-03
+21.4000E-06,+31.4453125000E+00,+30.8593750000E+00,-585.9375000E-03
+21.5000E-06,+31.5429687500E+00,+31.2500000000E+00,-292.9687500E-03
+21.6000E-06,+31.6406250000E+00,+31.2500000000E+00,-390.6250000E-03
+21.7000E-06,+31.7382812500E+00,+31.2500000000E+00,-488.2812500E-03
+21.8000E-06,+31.8359375000E+00,+31.2500000000E+00,-585.9375000E-03
+21.9000E-06,+32.1289062500E+00,+31.3476562500E+00,-781.2500000E-03
+22.0000E-06,+32.0312500000E+00,+31.5429687500E+00,-488.2812500E-03
+22.1000E-06,+32.1289062500E+00,+31.4453125000E+00,-683.5937500E-03
+22.2000E-06,+32.1289062500E+00,+31.4453125000E+00,-683.5937500E-03
+22.3000E-06,+32.1289062500E+00,+31.5429687500E+00,-585.9375000E-03
+22.4000E-06,+32.3242187500E+00,+31.6406250000E+00,-683.5937500E-03
+22.5000E-06,+32.3242187500E+00,+31.6406250000E+00,-683.5937500E-03
+22.6000E-06,+32.5195312500E+00,+31.6406250000E+00,-878.9062500E-03
+22.7000E-06,+32.5195312500E+00,+31.7382812500E+00,-781.2500000E-03
+22.8000E-06,+32.5195312500E+00,+31.8359375000E+00,-683.5937500E-03
+22.9000E-06,+32.6171875000E+00,+31.6406250000E+00,-976.5625000E-03
+23.0000E-06,+32.5195312500E+00,+31.7382812500E+00,-781.2500000E-03
+23.1000E-06,+32.6171875000E+00,+32.0312500000E+00,-585.9375000E-03
+23.2000E-06,+32.7148437500E+00,+31.8359375000E+00,-878.9062500E-03
+23.3000E-06,+32.5195312500E+00,+31.9335937500E+00,-585.9375000E-03
+23.4000E-06,+32.5195312500E+00,+31.8359375000E+00,-683.5937500E-03
+23.5000E-06,+32.8125000000E+00,+31.7382812500E+00,-1.0742187500E+00
+23.6000E-06,+32.6171875000E+00,+32.1289062500E+00,-488.2812500E-03
+23.7000E-06,+32.6171875000E+00,+32.0312500000E+00,-585.9375000E-03
+23.8000E-06,+33.0078125000E+00,+32.0312500000E+00,-976.5625000E-03
+23.9000E-06,+33.0078125000E+00,+32.2265625000E+00,-781.2500000E-03
+24.0000E-06,+33.0078125000E+00,+32.3242187500E+00,-683.5937500E-03
+24.1000E-06,+33.0078125000E+00,+32.5195312500E+00,-488.2812500E-03
+24.2000E-06,+33.1054687500E+00,+32.5195312500E+00,-585.9375000E-03
+24.3000E-06,+33.0078125000E+00,+32.4218750000E+00,-585.9375000E-03
+24.4000E-06,+33.2031250000E+00,+32.3242187500E+00,-878.9062500E-03
+24.5000E-06,+33.1054687500E+00,+32.4218750000E+00,-683.5937500E-03
+24.6000E-06,+33.4960937500E+00,+32.4218750000E+00,-1.0742187500E+00
+24.7000E-06,+33.2031250000E+00,+32.4218750000E+00,-781.2500000E-03
+24.8000E-06,+33.3007812500E+00,+32.6171875000E+00,-683.5937500E-03
+24.9000E-06,+33.4960937500E+00,+33.1054687500E+00,-390.6250000E-03
+25.0000E-06,+33.3984375000E+00,+32.7148437500E+00,-683.5937500E-03
+25.1000E-06,+33.6914062500E+00,+32.8125000000E+00,-878.9062500E-03
+25.2000E-06,+33.4960937500E+00,+32.6171875000E+00,-878.9062500E-03
+25.3000E-06,+33.3984375000E+00,+32.9101562500E+00,-488.2812500E-03
+25.4000E-06,+33.6914062500E+00,+33.0078125000E+00,-683.5937500E-03
+25.5000E-06,+33.6914062500E+00,+33.0078125000E+00,-683.5937500E-03
+25.6000E-06,+33.6914062500E+00,+33.1054687500E+00,-585.9375000E-03
+25.7000E-06,+33.8867187500E+00,+33.0078125000E+00,-878.9062500E-03
+25.8000E-06,+33.7890625000E+00,+33.0078125000E+00,-781.2500000E-03
+25.9000E-06,+33.7890625000E+00,+33.3007812500E+00,-488.2812500E-03
+26.0000E-06,+33.7890625000E+00,+33.5937500000E+00,-195.3125000E-03
+26.1000E-06,+33.8867187500E+00,+33.3984375000E+00,-488.2812500E-03
+26.2000E-06,+33.9843750000E+00,+33.3984375000E+00,-585.9375000E-03
+26.3000E-06,+34.0820312500E+00,+33.5937500000E+00,-488.2812500E-03
+26.4000E-06,+33.9843750000E+00,+33.3984375000E+00,-585.9375000E-03
